Learning Rate,Regularisation Param,Iterations,Seed,Max/Min Activation,Noise L2 Norm Diff
0.001,0.1,1000,26,-5.938000202178955,4.561999797821045
0.001,0.1,1000,2,-5.083000183105469,4.4039998054504395
0.001,0.1,1000,14,-5.238999843597412,4.688000202178955
0.001,0.1,1000,47,-7.203999996185303,4.5929999351501465
0.001,0.1,1000,44,-4.941999912261963,4.690000057220459
