Learning Rate,Regularisation Param,Iterations,Seed,Max/Min Activation,Noise L2 Norm Diff
0.01,0.1,1000,26,17.03700065612793,4.36299991607666
0.01,0.1,1000,2,17.298999786376953,5.3429999351501465
0.01,0.1,1000,14,15.986000061035156,5.313000202178955
0.01,0.1,1000,47,6.531000137329102,7.385000228881836
0.01,0.1,1000,44,12.524999618530273,5.353000164031982
