Learning Rate,Regularisation Param,Iterations,Seed,Max/Min Activation,Noise L2 Norm Diff
0.001,0.1,1000,2,6.5980000495910645,3.98799991607666
0.001,0.1,1000,11,16.648000717163086,3.0880000591278076
0.001,0.1,1000,26,4.8520002365112305,4.144999980926514
0.001,0.1,1000,41,10.222999572753906,3.6389999389648438
0.001,0.1,1000,47,7.339000225067139,4.723999977111816
